Date,Hour Ending,Total Load
01/16/2023,12,15564.54
01/16/2023,13,15560.8
01/16/2023,14,15611.11
01/16/2023,15,15662.78
01/16/2023,16,15791.92
01/16/2023,17,16384.72
01/16/2023,18,17059.4
01/16/2023,19,16748.8
01/16/2023,20,16222.77
01/16/2023,21,15528.61
01/16/2023,22,14604.95
01/16/2023,23,13554.21
01/16/2023,24,12612.95
01/17/2023,1,12540.96
01/17/2023,2,12280.07
01/17/2023,3,12375.99
01/17/2023,4,12410.55
01/17/2023,5,12493.3
01/17/2023,6,13289.79
01/17/2023,7,14291.7
01/17/2023,8,15228.17
01/17/2023,9,14969.94
01/17/2023,10,14025.12
01/17/2023,11,13163.69
01/17/2023,12,12440.62
01/17/2023,13,12245.95
01/17/2023,14,12930.24
01/17/2023,15,13804.42
01/17/2023,16,14409.89
01/17/2023,17,15210.99
01/17/2023,18,15964.95
01/17/2023,19,15784.85
01/17/2023,20,15301.79
01/17/2023,21,14622.51
01/17/2023,22,13725.49
01/17/2023,23,12662.72
01/17/2023,24,11729.13
01/18/2023,1,11627.35
01/18/2023,2,11606.48
01/18/2023,3,11491.46
01/18/2023,4,11519.36
01/18/2023,5,11824.07
01/18/2023,6,12201.33
01/18/2023,7,13425.78
01/18/2023,8,14303.36
01/18/2023,9,14352.32
01/18/2023,10,14030.09
01/18/2023,11,13716.02
01/18/2023,12,13509.46
01/18/2023,13,13144.22
01/18/2023,14,12897.38
01/18/2023,15,13427.07
01/18/2023,16,13982.34
01/18/2023,17,14609.89
01/18/2023,18,15540.59
01/18/2023,19,15484.42
01/18/2023,20,15062.21
01/18/2023,21,14701.43
01/18/2023,22,13660.01
01/18/2023,23,12599.42
01/18/2023,24,12109.68
01/19/2023,1,11997.13
01/19/2023,2,11672.47
01/19/2023,3,11743.07
01/19/2023,4,11828.91
01/19/2023,5,12121.07
01/19/2023,6,12536.71
01/19/2023,7,13554.3
01/19/2023,8,14736.72
01/19/2023,9,14648.02
01/19/2023,10,14427.4
01/19/2023,11,14387.54
01/19/2023,12,14350.75
