ASSET ID,ASSET NAME,RESOURCE ID,Fuel Type,RESOURCE NAME,GENERATOR TYPE,Primary Fuel Type,ALT FUEL TYPE,EIA PLANT NUMBER,Nameplate Capacity (MW)
557,SCHILLER 5,557.0,Refuse/Woods,SCHILLER 5,STEAM TURBINE,WDS,,2367,35.97512688499374
558,SCHILLER 6,558.0,Coal,SCHILLER 6,STEAM TURBINE,BIT,RFO,2367,45.0699451328128
559,SCHILLER CT 1,559.0,Oil,SCHILLER CT 1,GAS TURBINE,KER,,2367,19.135705789890288
561,SEARSBURG,561.0,Hydro,SEARSBURG,HYDRO: DAILY PONDAGE,WAT,,6529,4.052267108447355
562,SECREC-PRESTON,562.0,Refuse/Woods,SECREC-PRESTON,STEAM TURBINE,MSW,,10646,16.568909753019547
563,SEMASS 1,563.0,Refuse/Woods,SEMASS 1,STEAM TURBINE,MSW,DFO,50290,52.27424569897088
564,SEMASS 2,564.0,Refuse/Woods,SEMASS 2,STEAM TURBINE,MSW,DFO,50290,26.744962915752545
565,SHELDON SPRINGS,565.0,Hydro,SHELDON SPRINGS,HYDRO: RUN OF RIVER,WAT,,10494,19.504912348659936
566,SHEPAUG,566.0,Hydro,SHEPAUG,HYDRO: WEEKLY PONDAGE,WAT,,552,45.02248858245387
567,SHERMAN,567.0,Hydro,SHERMAN,HYDRO: WEEKLY PONDAGE,WAT,,6012,7.294080795205239
568,SHREWSBURY DIESELS,35657.0,Oil,Shrewsbury Diesels,INTERNAL COMBUSTION,DFO,,6125,12.390932313830135
569,SKELTON,569.0,Hydro,SKELTON,HYDRO: DAILY PONDAGE,WAT,,1505,15.128463871536793
570,SMITH,570.0,Hydro,SMITH,HYDRO: RUN OF RIVER,WAT,,2368,13.507557028157851
572,SO. MEADOW 11,572.0,Oil,SO. MEADOW 11,GAS TURBINE,DFO,,563,37.6860841085604
573,SO. MEADOW 12,573.0,Oil,SO. MEADOW 12,GAS TURBINE,DFO,,563,37.6860841085604
574,SO. MEADOW 13,574.0,Oil,SO. MEADOW 13,GAS TURBINE,DFO,,563,37.6860841085604
575,SO. MEADOW 14,575.0,Oil,SO. MEADOW 14,GAS TURBINE,DFO,,563,37.6860841085604
580,SO. MEADOW 5,580.0,Refuse/Woods,SO. MEADOW 5,STEAM TURBINE,MSW,,563,36.0201520750876
581,SO. MEADOW 6,581.0,Refuse/Woods,SO. MEADOW 6,STEAM TURBINE,MSW,,563,36.0201520750876
583,STONY BROOK 2A,583.0,Oil,STONY BROOK 2A,GAS TURBINE,DFO,,6081,89.60048848830115
