Date,Time,Fuel Category,Gen Mw
01/01/2023,02:08:14,Natural Gas,2821.0
01/01/2023,02:08:14,Nuclear,3372.0
01/01/2023,02:08:14,Oil,0.0
01/01/2023,02:08:14,Other,11.0
01/01/2023,02:08:14,Refuse,333.0
01/01/2023,02:08:14,Solar,1.0
01/01/2023,02:08:14,Wind,223.0
01/01/2023,02:08:14,Wood,234.0
01/01/2023,02:14:29,Coal,0.0
01/01/2023,02:14:29,Hydro,969.0
01/01/2023,02:14:29,Landfill Gas,36.0
01/01/2023,02:14:29,Natural Gas,2705.0
01/01/2023,02:14:29,Nuclear,3372.0
01/01/2023,02:14:29,Oil,0.0
01/01/2023,02:14:29,Other,1.0
01/01/2023,02:14:29,Refuse,341.0
01/01/2023,02:14:29,Solar,1.0
01/01/2023,02:14:29,Wind,254.0
01/01/2023,02:14:29,Wood,233.0
01/01/2023,02:20:15,Coal,3.0
01/01/2023,02:20:15,Hydro,968.0
01/01/2023,02:20:15,Landfill Gas,36.0
01/01/2023,02:20:15,Natural Gas,2885.0
01/01/2023,02:20:15,Nuclear,3371.0
01/01/2023,02:20:15,Oil,0.0
01/01/2023,02:20:15,Other,0.0
01/01/2023,02:20:15,Refuse,338.0
01/01/2023,02:20:15,Solar,1.0
01/01/2023,02:20:15,Wind,266.0
01/01/2023,02:20:15,Wood,233.0
01/01/2023,02:24:00,Coal,4.0
01/01/2023,02:24:00,Hydro,969.0
01/01/2023,02:24:00,Landfill Gas,35.0
01/01/2023,02:24:00,Natural Gas,2884.0
01/01/2023,02:24:00,Nuclear,3371.0
01/01/2023,02:24:00,Oil,0.0
01/01/2023,02:24:00,Other,8.0
01/01/2023,02:24:00,Refuse,343.0
01/01/2023,02:24:00,Solar,1.0
01/01/2023,02:24:00,Wind,276.0
01/01/2023,02:24:00,Wood,235.0
01/01/2023,02:29:02,Coal,0.0
01/01/2023,02:29:02,Hydro,972.0
01/01/2023,02:29:02,Landfill Gas,36.0
01/01/2023,02:29:02,Natural Gas,2848.0
01/01/2023,02:29:02,Nuclear,3371.0
