ID,Name,Type,Fuel Type,Generating Fuel Type,State,Summer Qual,Winter Qual,FCA Qual,June,July,August,September,October,November,December,January,February,March,April,May
40789,Maxwell Green Solar,Generator,Solar,Solar,MA,0.104,0.0,0.104,0.104,0.104,0.104,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40797,Holliston Field 2,Generator,Solar,Solar,MA,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,BRANFORD 10,Generator,Oil,Kerosene,CT,15.84,20.95,15.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,DEVON 10,Generator,Oil,Kerosene,CT,14.407,19.186,14.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,FRANKLIN DRIVE 10,Generator,Oil,Kerosene,CT,15.417,20.527,15.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,MIDDLETOWN 10,Generator,Oil,Jet Fuel,CT,15.515,20.015,15.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,MIDDLETOWN 2,Generator,Oil,Residual Fuel Oil Bunker C,CT,375.0,378.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,OCEAN ST PWR GT1 GT2 ST1,Generator,Gas,Natural Gas,RI,333.362,334.0,333.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529,OCEAN ST PWR GT3 GT4 ST2,Generator,Gas,Natural Gas,RI,334.0,334.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,TORRINGTON TERMINAL 10,Generator,Oil,Kerosene,CT,15.638,20.748,15.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38824,Nutmeg Solar,Generator,Solar,Solar,MA,12.7,0.0,5.647,5.647,5.647,5.647,5.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38825,Sanford Airport Solar,Generator,Solar,Solar,ME,30.4,0.0,13.516,13.516,13.516,13.516,13.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38826,Quinebaug Solar,Generator,Solar,Solar,CT,24.9,0.0,11.071,11.071,11.071,11.071,11.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38838,Farmington Solar,Generator,Solar,Solar,ME,48.04,0.0,21.359,21.359,21.359,21.359,21.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38848,Constitution Solar,Generator,Solar,Solar,CT,11.6,0.0,5.157,5.157,5.157,5.157,5.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38849,W Portsmouth Solar,Generator,Solar,Solar,NH,5.78,0.0,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38892,Winslow Solar,Generator,Solar,Solar,ME,10.41,0.0,4.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38894,Hinckley Solar,Generator,Solar,Solar,ME,11.204,0.0,4.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40658,Vineyard Wind,Generator,Wind,Wind,MA,228.995,440.117,101.813,101.813,101.813,101.813,101.813,195.68,195.68,195.68,195.68,195.68,195.68,195.68,195.68
40668,"Georges River Energy, LLC",Generator,Refuse/Woods,Wood/Wood Waste Solids.,ME,7.5,7.5,3.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40708,Davenport Solar,Generator,Solar,Solar,VT,8.73,0.0,3.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40712,Randolph Ctr. Solar,Generator,Solar,Solar,VT,11.29,0.0,11.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40716,Chinook Solar Resource,Generator,Solar,Solar,NH,20.65,0.0,9.181,9.181,9.181,9.181,9.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40729,"Ballston Grid, LLC",Generator,ES,Electricity used for Energy Storage,MA,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40747,Cranston Solar Project,Generator,Solar,Solar,RI,6.773,0.0,3.011,3.011,3.011,3.011,3.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40750,"TRS Fuel Cell, LLC",Generator,Gas,Natural Gas,CT,3.63,3.67,1.614,1.614,1.614,1.614,1.614,1.614,1.614,1.614,1.614,1.614,1.614,1.614,1.614
40884,KCE CT 2 ,Generator,ES,Electricity used for Energy Storage,CT,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40885,Sanford BESS,Generator,ES,Electricity used for Energy Storage,ME,4.99,4.99,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40886,Methuen_PV,Generator,Solar,Solar,MA,1.4,0.9,0.622,0.622,0.622,0.622,0.622,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
40889,RoxWind,Generator,Wind,Wind,ME,3.5,6.0,1.556,1.556,1.556,1.556,1.556,2.667,2.667,2.667,2.667,2.667,2.667,2.667,2.667
40893,Rose Hill Lanfill-SKSC1,Generator,Solar,Solar,RI,1.474,0.0,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40894,Town Plains-SKSC2,Generator,Solar,Solar,RI,0.783,0.0,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40896,"BWC French River Solar, LLC",Generator,Solar,Solar,MA,6.032,0.0,2.682,2.682,2.682,2.682,2.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40905,Rumford BESS,Generator,ES,Electricity used for Energy Storage,ME,4.99,4.99,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40906,Bloom Colchester Clean Energy Project,Generator,Gas,Natural Gas,CT,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40907,Cross Road BESS,Generator,ES,Electricity used for Energy Storage,MA,246.0,246.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40908,South Wrentham BESS,Generator,ES,Electricity used for Energy Storage,MA,170.0,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40912,South Portland BESS,Generator,ES,Electricity used for Energy Storage,ME,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40925,ENA Grove St PV,Generator,Solar,Solar,MA,1.248,0.0,0.555,0.555,0.555,0.555,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40926,ENA Hunt Road PV,Generator,Solar,Solar,MA,0.45,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40927,ENA Lake St PV,Generator,Solar,Solar,MA,1.248,0.0,0.555,0.555,0.555,0.555,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40931,ENA Valley Road PV,Generator,Solar,Solar,MA,1.248,0.0,0.555,0.555,0.555,0.555,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40932,ENA Wood St PV,Generator,Solar,Solar,MA,1.99,0.0,0.885,0.885,0.885,0.885,0.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40933,Huxley Battery,Generator,Solar,Solar,MA,3.944,3.944,1.754,1.754,1.754,1.754,1.754,1.754,1.754,1.754,1.754,1.754,1.754,1.754,1.754
40936,ENA Grove Street Storage,Generator,ES,Electricity used for Energy Storage,MA,3.694,3.694,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642
40937,ENA Hunt Road Storage,Generator,ES,Electricity used for Energy Storage,MA,1.724,1.724,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767
40938,ENA Lake Street Storage,Generator,ES,Electricity used for Energy Storage,MA,3.694,3.694,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642
40941,ENA Valley Road Storage,Generator,ES,Electricity used for Energy Storage,MA,3.694,3.694,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642,1.642
40942,ENA Wood Street Storage,Generator,ES,Electricity used for Energy Storage,MA,2.955,2.955,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314,1.314
40943,"Cahoon Grid, LLC",Generator,ES,Electricity used for Energy Storage,MA,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40946,Oakham_Solar,Generator,Solar,Solar,MA,1.89,1.35,0.84,0.84,0.84,0.84,0.84,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
40947,BigelowRd_Solar,Generator,Solar,Solar,MA,0.9,0.4,0.4,0.4,0.4,0.4,0.4,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178
40948,Plainfield_Solar,Generator,Solar,Solar,MA,0.797,0.0,0.354,0.354,0.354,0.354,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40949,Wales_Solar,Generator,Solar,Solar,MA,1.86,1.33,0.827,0.827,0.827,0.827,0.827,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.591
40950,Hadley_North_Solar,Generator,Solar,Solar,MA,1.2,0.9,0.534,0.534,0.534,0.534,0.534,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401
40951,Hadley_South_Solar,Generator,Solar,Solar,MA,1.6,0.9,0.711,0.711,0.711,0.711,0.711,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
40952,Montague Road Solar,Generator,Solar,Solar,MA,2.84,1.8,1.263,1.263,1.263,1.263,1.263,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
40953,Webster Renewables,Generator,Solar,Solar,MA,0.81,0.45,0.36,0.36,0.36,0.36,0.36,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
40954,WinchendonWest 1 Solar,Generator,Solar,Solar,MA,0.87,0.45,0.387,0.387,0.387,0.387,0.387,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
40957,WinchendonWest 2 Solar,Generator,Solar,Solar,MA,0.85,0.45,0.378,0.378,0.378,0.378,0.378,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
40960,Fitchburg Solar,Generator,Solar,Solar,MA,3.12,1.8,1.387,1.387,1.387,1.387,1.387,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
40964,Palmer Solar,Generator,Solar,Solar,MA,3.98,2.22,1.77,1.77,1.77,1.77,1.77,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987
40970,Granby Solar,Generator,Solar,Solar,MA,2.8,0.888,1.245,1.245,1.245,1.245,1.245,0.395,0.395,0.395,0.395,0.395,0.395,0.395,0.395
40989,RI_64_RE Growth PV_0 HARTFORD PI_SCITUATE,Generator,Solar,Solar,RI,0.82,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40996,MA_12_2 PV_183 PROVIDENCE ST_UXBRIDGE,Generator,Solar,Solar,MA,1.087,0.0,0.483,0.483,0.483,0.483,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40997,RI_66_RE Growth PV_6 BUTTONWOODS RD_WYOMING,Generator,Solar,Solar,RI,0.563,0.0,0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40998,RI_67_RE Growth PV_248 CRANBERRY-RIDGE RD_GLOCESTER,Generator,Solar,Solar,RI,0.439,0.0,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40999,Charlton PV,Generator,Solar,Solar,MA,1.32,0.9,0.587,0.587,0.587,0.587,0.587,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
41000,RI_75_RE Growth PV_26 PECK-HILL RD_JOHNSTON,Generator,Solar,Solar,RI,0.115,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41001,Spring Street Renewables,Generator,Solar,Solar,MA,4.26,2.25,1.894,1.894,1.894,1.894,1.894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41002,MA_13_2 PV_18 SAMPSON RD_CHARLTON,Generator,Solar,Solar,MA,0.915,0.0,0.407,0.407,0.407,0.407,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41003,MA_16_2 PV_109 E HILL RD_MONSON,Generator,Solar,Solar,MA,1.071,0.0,0.476,0.476,0.476,0.476,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41006,Syncarpha Westminster - Solar,Generator,Solar,Solar,MA,1.564,0.0,0.695,0.695,0.695,0.695,0.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
