ID,Generating Fuel Type,Fuel Type
792,Water at a Conventional Hydroelectric Turbine,Hydro
793,Water at a Conventional Hydroelectric Turbine,Hydro
794,Water at a Conventional Hydroelectric Turbine,Hydro
795,Water at a Conventional Hydroelectric Turbine,Hydro
796,Water at a Conventional Hydroelectric Turbine,Hydro
797,Water at a Conventional Hydroelectric Turbine,Hydro
798,Water at a Conventional Hydroelectric Turbine,Hydro
800,Water at a Conventional Hydroelectric Turbine,Hydro
801,Water at a Conventional Hydroelectric Turbine,Hydro
802,Water at a Conventional Hydroelectric Turbine,Hydro
803,Water at a Conventional Hydroelectric Turbine,Hydro
804,Water at a Conventional Hydroelectric Turbine,Hydro
806,Water at a Conventional Hydroelectric Turbine,Hydro
807,Water at a Conventional Hydroelectric Turbine,Hydro
808,Water at a Conventional Hydroelectric Turbine,Hydro
810,Water at a Conventional Hydroelectric Turbine,Hydro
811,Water at a Conventional Hydroelectric Turbine,Hydro
813,Water at a Conventional Hydroelectric Turbine,Hydro
824,Water at a Conventional Hydroelectric Turbine,Hydro
827,Wind,Wind
841,Water at a Conventional Hydroelectric Turbine,Hydro
842,Water at a Conventional Hydroelectric Turbine,Hydro
845,Water at a Conventional Hydroelectric Turbine,Hydro
846,Water at a Conventional Hydroelectric Turbine,Hydro
849,Water at a Conventional Hydroelectric Turbine,Hydro
850,Water at a Conventional Hydroelectric Turbine,Hydro
851,Water at a Conventional Hydroelectric Turbine,Hydro
852,Water at a Conventional Hydroelectric Turbine,Hydro
854,Water at a Conventional Hydroelectric Turbine,Hydro
855,Water at a Conventional Hydroelectric Turbine,Hydro
856,Water at a Conventional Hydroelectric Turbine,Hydro
857,Water at a Conventional Hydroelectric Turbine,Hydro
859,Water at a Conventional Hydroelectric Turbine,Hydro
860,Water at a Conventional Hydroelectric Turbine,Hydro
861,Water at a Conventional Hydroelectric Turbine,Hydro
862,Water at a Conventional Hydroelectric Turbine,Hydro
863,Water at a Conventional Hydroelectric Turbine,Hydro
864,Water at a Conventional Hydroelectric Turbine,Hydro
865,Water at a Conventional Hydroelectric Turbine,Hydro
866,Water at a Conventional Hydroelectric Turbine,Hydro
867,Water at a Conventional Hydroelectric Turbine,Hydro
868,Water at a Conventional Hydroelectric Turbine,Hydro
869,Water at a Conventional Hydroelectric Turbine,Hydro
870,Water at a Conventional Hydroelectric Turbine,Hydro
871,Water at a Conventional Hydroelectric Turbine,Hydro
872,Water at a Conventional Hydroelectric Turbine,Hydro
873,Water at a Conventional Hydroelectric Turbine,Hydro
874,Water at a Conventional Hydroelectric Turbine,Hydro
875,Water at a Conventional Hydroelectric Turbine,Hydro
876,Water at a Conventional Hydroelectric Turbine,Hydro
877,Water at a Conventional Hydroelectric Turbine,Hydro
878,Water at a Conventional Hydroelectric Turbine,Hydro
879,Water at a Conventional Hydroelectric Turbine,Hydro
882,Water at a Conventional Hydroelectric Turbine,Hydro
883,Water at a Conventional Hydroelectric Turbine,Hydro
884,Water at a Conventional Hydroelectric Turbine,Hydro
886,Water at a Conventional Hydroelectric Turbine,Hydro
887,Water at a Conventional Hydroelectric Turbine,Hydro
888,Water at a Conventional Hydroelectric Turbine,Hydro
889,Water at a Conventional Hydroelectric Turbine,Hydro
890,Water at a Conventional Hydroelectric Turbine,Hydro
891,Water at a Conventional Hydroelectric Turbine,Hydro
892,Water at a Conventional Hydroelectric Turbine,Hydro
893,Water at a Conventional Hydroelectric Turbine,Hydro
894,Water at a Conventional Hydroelectric Turbine,Hydro
895,Water at a Conventional Hydroelectric Turbine,Hydro
897,Water at a Conventional Hydroelectric Turbine,Hydro
898,Water at a Conventional Hydroelectric Turbine,Hydro
900,Water at a Conventional Hydroelectric Turbine,Hydro
901,Water at a Conventional Hydroelectric Turbine,Hydro
902,Water at a Conventional Hydroelectric Turbine,Hydro
903,Water at a Conventional Hydroelectric Turbine,Hydro
904,Water at a Conventional Hydroelectric Turbine,Hydro
905,Water at a Conventional Hydroelectric Turbine,Hydro
906,Water at a Conventional Hydroelectric Turbine,Hydro
908,Water at a Conventional Hydroelectric Turbine,Hydro
909,Water at a Conventional Hydroelectric Turbine,Hydro
910,Water at a Conventional Hydroelectric Turbine,Hydro
911,Water at a Conventional Hydroelectric Turbine,Hydro
913,Water at a Conventional Hydroelectric Turbine,Hydro
919,Water at a Conventional Hydroelectric Turbine,Hydro
925,Water at a Conventional Hydroelectric Turbine,Hydro
926,Water at a Conventional Hydroelectric Turbine,Hydro
928,Water at a Conventional Hydroelectric Turbine,Hydro
931,Water at a Conventional Hydroelectric Turbine,Hydro
932,Water at a Conventional Hydroelectric Turbine,Hydro
933,Water at a Conventional Hydroelectric Turbine,Hydro
935,Water at a Conventional Hydroelectric Turbine,Hydro
941,Water at a Conventional Hydroelectric Turbine,Hydro
943,Landfill Gas,Gas
948,Water at a Conventional Hydroelectric Turbine,Hydro
950,Water at a Conventional Hydroelectric Turbine,Hydro
