Date,Hour Ending,Total Load
03/23/2023,19,16458.229071523176
03/23/2023,20,16612.135038013246
03/23/2023,21,16122.37604423841
03/23/2023,22,15167.766186490066
03/23/2023,23,13973.89270781457
03/23/2023,24,12853.951545695365
03/24/2023,1,12792.61666384106
03/24/2023,2,12483.941596158942
03/24/2023,3,12297.698502119205
03/24/2023,4,12305.490767019866
03/24/2023,5,12643.478038410596
03/24/2023,6,12926.101926754967
03/24/2023,7,14669.874043708607
03/24/2023,8,15663.43145139073
03/24/2023,9,15588.96864754967
03/24/2023,10,15140.61148013245
03/24/2023,11,14716.093105430466
03/24/2023,12,13731.148720132449
03/24/2023,13,12327.466849668874
03/24/2023,14,11888.683904105961
03/24/2023,15,11818.42950397351
03/24/2023,16,12175.077587019867
03/24/2023,17,12773.384490728475
03/24/2023,18,14015.179305298014
03/24/2023,19,15272.803568344369
03/24/2023,20,15960.075106622515
03/24/2023,21,15721.764260662252
03/24/2023,22,15062.649334701986
03/24/2023,23,14174.192169536424
03/24/2023,24,13288.405516688741
03/25/2023,1,13076.964405298013
03/25/2023,2,13096.192394701986
03/25/2023,3,13104.644394834437
03/25/2023,4,13092.251805430464
03/25/2023,5,13093.5762010596
03/25/2023,6,13184.324529139074
03/25/2023,7,13827.050715231788
03/25/2023,8,14206.223554304635
03/25/2023,9,14712.726778807948
03/25/2023,10,15192.925581324502
03/25/2023,11,15472.728463576159
03/25/2023,12,15619.572510993377
03/25/2023,13,15636.132842384106
03/25/2023,14,15762.342358278145
03/25/2023,15,15935.831827152319
03/25/2023,16,16103.849870198675
03/25/2023,17,16467.79691655629
03/25/2023,18,16801.206450198675
03/25/2023,19,16855.2884405298
03/25/2023,20,16760.007625827813
03/25/2023,21,16254.100652980134
03/25/2023,22,15478.783983311258
03/25/2023,23,14513.568131258276
03/25/2023,24,13564.819165827812
03/26/2023,1,12855.643313642384
03/26/2023,2,12341.750811258278
03/26/2023,3,12442.919988874171
03/26/2023,4,12505.573875099339
03/26/2023,5,12210.185305165563
03/26/2023,6,12500.681009006621
03/26/2023,7,12730.138670198676
03/26/2023,8,13124.81412437086
03/26/2023,9,12826.701159337747
03/26/2023,10,12076.619836688742
03/26/2023,11,11825.664495629138
03/26/2023,12,11918.077182119205
03/26/2023,13,11689.088728874172
03/26/2023,14,11253.068158278145
03/26/2023,15,11222.574425960263
03/26/2023,16,11155.099039205297
03/26/2023,17,12108.107645695363
03/26/2023,18,13687.200001192052
03/26/2023,19,14868.111029403974
03/26/2023,20,15593.240982913907
03/26/2023,21,15388.740698543044
03/26/2023,22,14553.39990331126
03/26/2023,23,13474.285191655628
03/26/2023,24,12812.926604900662
03/27/2023,1,12417.200534172185
03/27/2023,2,12699.761493245032
03/27/2023,3,12695.513701986754
03/27/2023,4,12800.405589668873
03/27/2023,5,12873.242156953642
03/27/2023,6,13403.889179999998
03/27/2023,7,15272.589103046359
03/27/2023,8,15859.969935099336
03/27/2023,9,14566.573165827815
03/27/2023,10,13270.080399735101
03/27/2023,11,12110.299157218544
03/27/2023,12,11638.876650596025
03/27/2023,13,11727.252778145697
03/27/2023,14,11562.579232185431
03/27/2023,15,12162.061445960264
03/27/2023,16,13016.856554569536
03/27/2023,17,14343.109514304635
03/27/2023,18,15663.893725827813
03/27/2023,19,16392.80372768212
03/27/2023,20,16586.12503668874
03/27/2023,21,16034.72441284768
03/27/2023,22,15060.398463576157
03/27/2023,23,13866.030056953641
03/27/2023,24,13149.859869536422
03/28/2023,1,12837.000897748343
03/28/2023,2,12578.794446754968
03/28/2023,3,12733.198079999998
03/28/2023,4,12751.266954304636
03/28/2023,5,12833.223119337748
03/28/2023,6,13209.059173509933
03/28/2023,7,14943.804550198674
03/28/2023,8,16086.278812317882
03/28/2023,9,16309.289545033113
03/28/2023,10,16206.414802119203
03/28/2023,11,16140.563976953641
03/28/2023,12,15588.186584900663
03/28/2023,13,14752.990097483444
03/28/2023,14,14465.074437086094
03/28/2023,15,14154.109602119206
03/28/2023,16,13968.110425960263
03/28/2023,17,14378.289501192054
03/28/2023,18,15406.879761059601
03/28/2023,19,16399.13963576159
03/28/2023,20,17036.58474754967
03/28/2023,21,16754.272586225165
03/28/2023,22,15824.823230331123
03/28/2023,23,14632.266872715232
03/28/2023,24,13953.147119205298
03/29/2023,1,13756.81863245033
03/29/2023,2,13409.236572847683
03/29/2023,3,13277.668857615894
03/29/2023,4,13362.56650437086
03/29/2023,5,13513.99940463576
03/29/2023,6,14191.44936
03/29/2023,7,16039.765842251654
03/29/2023,8,16554.110294834434
03/29/2023,9,15047.798382516556
03/29/2023,10,13161.83611258278
03/29/2023,11,11639.069614172184
03/29/2023,12,11446.109454039733
03/29/2023,13,11046.76359629139
03/29/2023,14,11172.578405033113
03/29/2023,15,11097.633705298014
03/29/2023,16,11257.764957350993
03/29/2023,17,12557.782329536423
03/29/2023,18,14194.098971523179
03/29/2023,19,15674.735786225165
03/29/2023,20,16560.961333774834
03/29/2023,21,16307.069215231788
03/29/2023,22,15456.018319205297
03/29/2023,23,14257.389394304635
03/29/2023,24,13539.527222384106
03/30/2023,1,13206.094601324503
03/30/2023,2,13168.69470476821
03/30/2023,3,13166.350746357617
03/30/2023,4,13293.486606754966
03/30/2023,5,13346.193855761587
03/30/2023,6,14051.909860927153
03/30/2023,7,15866.983894569537
03/30/2023,8,16541.593110463575
03/30/2023,9,15493.624903311258
03/30/2023,10,13871.732267814568
03/30/2023,11,12707.838029139071
03/30/2023,12,12322.882296953643
03/30/2023,13,12013.951283443708
03/30/2023,14,11966.54736066225
03/30/2023,15,11808.942944900664
03/30/2023,16,12058.711625827815
03/30/2023,17,13116.67303655629
03/30/2023,18,14809.301055099337
03/30/2023,19,16565.79714794702
03/30/2023,20,17487.179331258278
03/30/2023,21,17316.68033443709
03/30/2023,22,16461.6847402649
03/30/2023,23,15249.1867405298
03/30/2023,24,14446.80215165563
03/31/2023,1,14359.764465827815
03/31/2023,2,14014.589141059603
03/31/2023,3,13858.030130860925
03/31/2023,4,13925.16929192053
03/31/2023,5,14307.492681721855
03/31/2023,6,14690.275870728476
03/31/2023,7,16325.093
03/31/2023,8,16727.231342251653
03/31/2023,9,15472.003638278144
03/31/2023,10,13900.058512185431
03/31/2023,11,12936.61455165563
03/31/2023,12,12415.772743708609
03/31/2023,13,12602.744859602648
03/31/2023,14,12936.109526490065
03/31/2023,15,13627.611534834436
03/31/2023,16,14677.751371523178
03/31/2023,17,15771.020592715231
03/31/2023,18,16445.944206357613
03/31/2023,19,16649.4612589404
03/31/2023,20,16715.00089192053
03/31/2023,21,16236.874759072847
03/31/2023,22,15442.15264701987
03/31/2023,23,14456.291499735098
03/31/2023,24,13460.572503576157
04/01/2023,1,13092.620944900664
04/01/2023,2,12632.917678940397
04/01/2023,3,12336.285725165562
04/01/2023,4,12193.671250860927
04/01/2023,5,12287.568708874172
04/01/2023,6,12659.50565642384
04/01/2023,7,13010.02938807947
04/01/2023,8,13900.612569536424
04/01/2023,9,14868.316504768212
04/01/2023,10,15502.77874490066
04/01/2023,11,15875.424745033113
04/01/2023,12,15960.708419602648
04/01/2023,13,15245.507225827814
04/01/2023,14,14711.549843046358
04/01/2023,15,14550.097293774834
04/01/2023,16,13721.331086622515
04/01/2023,17,13626.727641456953
04/01/2023,18,14099.858860927152
04/01/2023,19,14662.49898039735
04/01/2023,20,15115.755830198676
04/01/2023,21,14808.670786490065
04/01/2023,22,14154.888963973508
04/01/2023,23,13305.967068874173
04/01/2023,24,12441.470217615893
04/02/2023,1,11740.935642251654
04/02/2023,2,11566.655902516555
04/02/2023,3,11456.950229801323
04/02/2023,4,11604.782596688741
04/02/2023,5,12086.57122768212
04/02/2023,6,12188.44417231788
04/02/2023,7,12460.858714966887
04/02/2023,8,12643.483193509934
04/02/2023,9,12713.379538410596
04/02/2023,10,11217.39623245033
04/02/2023,11,10272.338672847682
04/02/2023,12,10469.865921854303
04/02/2023,13,10045.318708609271
04/02/2023,14,10132.992013907286
04/02/2023,15,10160.802901192052
04/02/2023,16,10605.981809536424
04/02/2023,17,11241.94627496689
04/02/2023,18,13144.386255496689
04/02/2023,19,14970.520413907283
04/02/2023,20,15955.814345827815
04/02/2023,21,15943.615344635762
04/02/2023,22,15232.474114172184
04/02/2023,23,14183.416988609273
04/02/2023,24,13239.614056291392
04/03/2023,1,13052.011581986753
04/03/2023,2,13160.982549403974
04/03/2023,3,13101.811157483442
04/03/2023,4,13213.013638807946
04/03/2023,5,13314.99953178808
04/03/2023,6,14143.314440264901
04/03/2023,7,15912.576397615894
04/03/2023,8,16195.526210860926
04/03/2023,9,14916.00623125828
04/03/2023,10,13262.8594
04/03/2023,11,12035.046987152316
04/03/2023,12,11351.190209801325
04/03/2023,13,11205.362637086091
04/03/2023,14,11210.919865695363
04/03/2023,15,11211.431797350993
04/03/2023,16,11638.13286423841
04/03/2023,17,12470.589281059603
04/03/2023,18,14284.58378423841
04/03/2023,19,15670.920979602648
04/03/2023,20,16319.120463576159
04/03/2023,21,16092.593503311258
04/03/2023,22,15227.479046622517
04/03/2023,23,13959.2526005298
04/03/2023,24,12879.25815576159
04/04/2023,1,12124.94172781457
04/04/2023,2,11677.391093907285
04/04/2023,3,11529.210554701987
04/04/2023,4,11525.230603311258
04/04/2023,5,11874.245855099336
04/04/2023,6,12912.365109933775
04/04/2023,7,14579.071008609271
04/04/2023,8,15267.763819072847
04/04/2023,9,14698.764182384106
04/04/2023,10,13767.343018013244
04/04/2023,11,12633.894845695362
04/04/2023,12,11818.376263311258
04/04/2023,13,11636.00974357616
04/04/2023,14,11468.90951986755
04/04/2023,15,11838.600280927152
04/04/2023,16,12203.410711258279
04/04/2023,17,13182.617891920529
04/04/2023,18,14445.584527152316
04/04/2023,19,15410.440491788078
04/04/2023,20,15907.390428609271
04/04/2023,21,15550.40932450331
04/04/2023,22,14673.402795231788
04/04/2023,23,13385.67652370861
04/04/2023,24,12287.604499867548
04/05/2023,1,11558.268133642385
04/05/2023,2,11403.044125165563
04/05/2023,3,11217.62860887417
04/05/2023,4,11219.019334701987
04/05/2023,5,11569.340669536425
04/05/2023,6,12276.439372847683
04/05/2023,7,13982.212221192054
04/05/2023,8,15017.70971629139
04/05/2023,9,15241.229518807946
04/05/2023,10,15117.20268715232
04/05/2023,11,15129.01434410596
04/05/2023,12,15058.248172847681
04/05/2023,13,14974.267363708608
04/05/2023,14,15165.325646887417
04/05/2023,15,15400.448539867548
04/05/2023,16,15625.374896556294
04/05/2023,17,16125.569666887417
04/05/2023,18,16691.69290887417
04/05/2023,19,16884.224701324503
04/05/2023,20,16958.94738490066
04/05/2023,21,16510.385987284768
04/05/2023,22,15583.651913907286
04/05/2023,23,14355.08580794702
04/05/2023,24,13263.176165960263
04/06/2023,1,13050.062290860928
04/06/2023,2,12719.042434966888
04/06/2023,3,12494.792233112583
04/06/2023,4,12469.702994437086
04/06/2023,5,12695.306607417218
04/06/2023,6,13245.575436953643
04/06/2023,7,14869.036244635761
04/06/2023,8,15909.29462384106
04/06/2023,9,15918.718142384105
04/06/2023,10,15341.556089536425
04/06/2023,11,14548.82138013245
04/06/2023,12,13625.283190331123
04/06/2023,13,13179.997142384107
04/06/2023,14,13303.443958013244
04/06/2023,15,13646.230238543047
04/06/2023,16,13627.204107947018
04/06/2023,17,14125.928202384106
04/06/2023,18,14877.577376821191
04/06/2023,19,15567.935366754966
04/06/2023,20,15930.255778145696
04/06/2023,21,15557.334749801325
04/06/2023,22,14659.576395364236
04/06/2023,23,13467.795334437087
04/06/2023,24,12397.2506797351
04/07/2023,1,12157.178486622515
04/07/2023,2,11771.295005827815
04/07/2023,3,11561.235428741722
04/07/2023,4,11542.486378807947
04/07/2023,5,11791.919592980134
04/07/2023,6,12078.179869668873
04/07/2023,7,13287.22629271523
04/07/2023,8,13870.709781456955
04/07/2023,9,13068.255298013244
04/07/2023,10,11685.90637562914
04/07/2023,11,11376.09443615894
04/07/2023,12,11366.317670066224
04/07/2023,13,11167.570202384104
04/07/2023,14,11736.014688741723
04/07/2023,15,12647.14314437086
04/07/2023,16,13128.215338013244
04/07/2023,17,13730.56958397351
04/07/2023,18,14528.210618145695
04/07/2023,19,15241.2623397351
04/07/2023,20,15709.305146490067
04/07/2023,21,15500.322145430464
04/07/2023,22,14844.283751655628
04/07/2023,23,13905.931763708608
04/07/2023,24,13017.396158940397
04/08/2023,1,12367.629752715231
04/08/2023,2,12226.927743178807
04/08/2023,3,12387.767293509933
04/08/2023,4,12400.891845165563
04/08/2023,5,12304.412499337746
04/08/2023,6,12456.741117218544
04/08/2023,7,13127.619822781457
04/08/2023,8,13160.357539735098
04/08/2023,9,12198.111896423841
04/08/2023,10,11110.711426490065
04/08/2023,11,10387.420629139071
04/08/2023,12,9958.172066225166
04/08/2023,13,9597.856747417218
04/08/2023,14,9317.86252410596
04/08/2023,15,9458.229677483445
04/08/2023,16,9923.510545960266
04/08/2023,17,11047.543341324501
04/08/2023,18,12594.813201059604
04/08/2023,19,14096.68650450331
04/08/2023,20,14962.225657615894
04/08/2023,21,15027.23381960265
04/08/2023,22,14521.388590860926
04/08/2023,23,13729.36399549669
04/08/2023,24,12936.876443046358
04/09/2023,1,12332.199566225167
04/09/2023,2,11964.283405960263
04/09/2023,3,11807.889860264902
04/09/2023,4,12045.927199735099
04/09/2023,5,12196.285005695365
04/09/2023,6,12465.194046357617
04/09/2023,7,13073.52890397351
04/09/2023,8,12827.412777748345
04/09/2023,9,12030.644332847682
04/09/2023,10,11047.348216953642
04/09/2023,11,9855.438788079471
04/09/2023,12,9581.103480794704
04/09/2023,13,9160.675885033112
04/09/2023,14,8953.120880794702
04/09/2023,15,8963.049812980133
04/09/2023,16,9321.504037086092
04/09/2023,17,10322.83726
04/09/2023,18,11463.809702781458
04/09/2023,19,13205.152422649007
04/09/2023,20,14332.952508741722
04/09/2023,21,14637.644298675494
04/09/2023,22,14090.620529271524
04/09/2023,23,13168.444789801324
04/09/2023,24,12317.150798940396
04/10/2023,1,11816.864385033112
04/10/2023,2,11633.684817880794
04/10/2023,3,11801.989021589403
04/10/2023,4,11908.213847947021
04/10/2023,5,12403.029373907284
04/10/2023,6,13184.597305033112
04/10/2023,7,14719.182647682119
04/10/2023,8,14941.73522450331
04/10/2023,9,13611.267919470196
04/10/2023,10,12098.439526887418
04/10/2023,11,11100.100944105961
04/10/2023,12,10637.770017218543
04/10/2023,13,10459.012357748345
04/10/2023,14,10293.21957629139
04/10/2023,15,10249.674417615892
04/10/2023,16,10659.886911788079
04/10/2023,17,11698.857521854305
04/10/2023,18,13300.5919005298
04/10/2023,19,14800.341614039735
04/10/2023,20,15559.79023615894
04/10/2023,21,15429.704117483443
04/10/2023,22,14480.486404635763
04/10/2023,23,13230.209700662252
04/10/2023,24,12191.246993642384
04/11/2023,1,11508.172700794703
04/11/2023,2,11161.064698543047
04/11/2023,3,11035.550225165562
04/11/2023,4,11081.177721721851
04/11/2023,5,11473.026311258278
04/11/2023,6,12529.428363178808
04/11/2023,7,14006.432122913906
04/11/2023,8,14452.448642384106
04/11/2023,9,13565.920482516556
04/11/2023,10,12357.3131002649
04/11/2023,11,11628.781334437086
04/11/2023,12,11415.234538807947
04/11/2023,13,11188.35604437086
04/11/2023,14,11159.51648370861
04/11/2023,15,11470.592001456955
04/11/2023,16,12325.385042119204
04/11/2023,17,13339.829397880794
04/11/2023,18,14517.930496688741
04/11/2023,19,15250.493523443707
04/11/2023,20,15661.320490331125
04/11/2023,21,15295.834087549669
04/11/2023,22,14312.668262781455
04/11/2023,23,13112.474026490067
04/11/2023,24,11975.090545430463
04/12/2023,1,11500.933206490065
04/12/2023,2,11369.304210860928
04/12/2023,3,11174.466270198676
04/12/2023,4,11145.221337748342
04/12/2023,5,11357.952787019869
04/12/2023,6,11712.019108609273
04/12/2023,7,13094.506516423839
04/12/2023,8,13602.11404
04/12/2023,9,13060.523366225165
04/12/2023,10,12283.001329271521
04/12/2023,11,11623.666850331127
04/12/2023,12,10997.070154966887
04/12/2023,13,11014.91871602649
04/12/2023,14,11284.438582119205
04/12/2023,15,11376.573195099338
04/12/2023,16,11744.094278145694
04/12/2023,17,12615.35931086093
04/12/2023,18,13923.47026370861
04/12/2023,19,15060.736782119206
04/12/2023,20,15622.960047152319
04/12/2023,21,15439.305683443708
04/12/2023,22,14447.452726490064
04/12/2023,23,13166.20784781457
04/12/2023,24,11991.38251986755
04/13/2023,1,11251.76881615894
04/13/2023,2,11093.602725165561
04/13/2023,3,11338.264791655629
04/13/2023,4,11357.709533642384
04/13/2023,5,11614.8553807947
04/13/2023,6,12036.459702913908
04/13/2023,7,12958.984395496687
04/13/2023,8,13356.7001205298
04/13/2023,9,12616.335919072848
04/13/2023,10,11870.891507284769
04/13/2023,11,11768.82303218543
04/13/2023,12,11624.682510596025
04/13/2023,13,11694.64312476821
04/13/2023,14,12058.437183576158
04/13/2023,15,12524.434698675497
04/13/2023,16,13329.14797245033
04/13/2023,17,14196.737781324502
04/13/2023,18,15737.305641854306
04/13/2023,19,16727.119314569536
04/13/2023,20,17059.841978145694
04/13/2023,21,16881.921941721856
04/13/2023,22,15999.931774437086
04/13/2023,23,14586.89326463576
04/13/2023,24,13307.592189139074
04/14/2023,1,12471.781287417218
04/14/2023,2,12251.032962516556
04/14/2023,3,12080.083230993378
04/14/2023,4,11993.228718410595
04/14/2023,5,12100.259082781457
04/14/2023,6,12222.440314569538
04/14/2023,7,13320.153362384106
04/14/2023,8,13527.032513112583
04/14/2023,9,13257.423969536421
04/14/2023,10,12783.060870066225
04/14/2023,11,12477.340989403972
04/14/2023,12,12573.637923973509
04/14/2023,13,12809.421303046358
04/14/2023,14,13143.209258278144
04/14/2023,15,13476.414471258277
04/14/2023,16,14171.49699536424
04/14/2023,17,15257.683684768212
04/14/2023,18,16145.183165960265
04/14/2023,19,16432.63639245033
04/14/2023,20,16390.434781456952
04/14/2023,21,16010.889178807945
04/14/2023,22,14996.067477086093
04/14/2023,23,13792.46736450331
04/14/2023,24,12594.12475231788
04/15/2023,1,11702.47456807947
04/15/2023,2,11080.717881456954
04/15/2023,3,10679.240147284767
04/15/2023,4,10461.829327019868
04/15/2023,5,10461.843295364239
04/15/2023,6,10709.527022781456
04/15/2023,7,11079.157569536424
04/15/2023,8,11238.406518543045
04/15/2023,9,11212.508543841059
04/15/2023,10,10846.561858675497
04/15/2023,11,10279.171902384105
04/15/2023,12,10053.414464900661
04/15/2023,13,10191.22173602649
04/15/2023,14,10525.160568741723
04/15/2023,15,10802.100535231788
04/15/2023,16,11455.763553245035
04/15/2023,17,12504.459994039735
04/15/2023,18,13528.957918410595
04/15/2023,19,14136.341766092717
04/15/2023,20,14405.59243205298
04/15/2023,21,14222.969318145695
04/15/2023,22,13541.31524768212
04/15/2023,23,12666.217619072848
04/15/2023,24,11791.4547
04/16/2023,1,11275.566315099339
04/16/2023,2,10939.28607245033
04/16/2023,3,10617.924909933776
04/16/2023,4,10463.378847417218
04/16/2023,5,10454.729432317881
04/16/2023,6,10516.246298145696
04/16/2023,7,10698.376390728476
04/16/2023,8,11144.273407284769
04/16/2023,9,11630.472128741721
04/16/2023,10,11970.409323443708
04/16/2023,11,11890.907429536423
04/16/2023,12,11618.357680132449
04/16/2023,13,11558.0100397351
04/16/2023,14,11595.574883841058
04/16/2023,15,11704.861312847683
04/16/2023,16,12074.349531788079
04/16/2023,17,12655.75573576159
04/16/2023,18,13473.676798013244
04/16/2023,19,14117.597599072846
04/16/2023,20,14529.188841721854
04/16/2023,21,14363.413701854304
04/16/2023,22,13544.65305629139
04/16/2023,23,12466.991893377484
04/16/2023,24,11951.436708874171
04/17/2023,1,11741.398574437086
04/17/2023,2,11331.775497483446
04/17/2023,3,11112.0386805298
04/17/2023,4,11088.920335099336
04/17/2023,5,11377.317462516557
04/17/2023,6,11424.570394172184
04/17/2023,7,12518.865337483443
04/17/2023,8,13553.876397483444
04/17/2023,9,14199.163986754966
04/17/2023,10,14592.41145192053
04/17/2023,11,14755.922594172187
04/17/2023,12,14807.793885298013
04/17/2023,13,14942.28698463576
04/17/2023,14,14922.182002649006
04/17/2023,15,14685.216958013245
04/17/2023,16,14629.690402251656
04/17/2023,17,14812.415703576158
04/17/2023,18,15213.79771549669
04/17/2023,19,15382.177843708609
04/17/2023,20,15434.88766900662
04/17/2023,21,15083.699755629139
04/17/2023,22,14180.016324370861
04/17/2023,23,12971.691413377483
04/17/2023,24,11904.624023841061
04/18/2023,1,11377.858309403973
04/18/2023,2,11062.032090596025
04/18/2023,3,11152.847356688742
04/18/2023,4,11108.866863708608
04/18/2023,5,10776.811096688742
04/18/2023,6,11666.64788423841
04/18/2023,7,12935.280991523177
04/18/2023,8,13373.03321165563
04/18/2023,9,12810.571954569537
04/18/2023,10,12449.298725165563
04/18/2023,11,12746.678373642384
04/18/2023,12,13035.179779072849
04/18/2023,13,13244.358214834436
04/18/2023,14,13224.927389271523
04/18/2023,15,12666.452000662253
04/18/2023,16,13077.798970331127
04/18/2023,17,13459.431665033113
04/18/2023,18,14187.368459205298
04/18/2023,19,14814.434125430462
04/18/2023,20,15347.976289403972
04/18/2023,21,15206.542212715232
04/18/2023,22,14331.146457483444
04/18/2023,23,13256.43244860927
04/18/2023,24,12446.685687019868
04/19/2023,1,11763.973992715231
04/19/2023,2,11619.603463178808
04/19/2023,3,11760.566606225166
04/19/2023,4,11772.137860927152
04/19/2023,5,12048.774858145694
04/19/2023,6,12291.488125827816
04/19/2023,7,13429.869902251656
04/19/2023,8,13936.905331523178
04/19/2023,9,13388.963051920531
04/19/2023,10,12675.692494834439
04/19/2023,11,12848.638122516557
