Date,Hour Ending,Total Load
07/23/2023,9,14124.89759867778
07/23/2023,10,14645.5587029082
07/23/2023,11,14493.47017830555
07/23/2023,12,14845.706454430236
07/23/2023,13,15651.749204290936
07/23/2023,14,16316.398522666135
07/23/2023,15,17174.04809953414
07/23/2023,16,18375.571647550816
07/23/2023,17,19787.46989033341
07/23/2023,18,21338.551676718427
07/23/2023,19,22269.577095894045
07/23/2023,20,22086.59483158027
07/23/2023,21,21459.660520153004
07/23/2023,22,20475.91276504796
07/23/2023,23,18830.469575186118
07/23/2023,24,17304.19803549098
07/24/2023,1,16181.87708466317
07/24/2023,2,15527.682028585295
07/24/2023,3,15758.61615411738
07/24/2023,4,15456.045052241381
07/24/2023,5,15543.22821480932
07/24/2023,6,15952.331743825074
07/24/2023,7,16435.976079789907
07/24/2023,8,17171.531497994976
07/24/2023,9,17307.8297014227
07/24/2023,10,17745.708856918252
07/24/2023,11,18443.36769687143
07/24/2023,12,19362.752222733503
07/24/2023,13,20242.26120292533
07/24/2023,14,21197.772179058007
07/24/2023,15,22065.227801694455
07/24/2023,16,22800.919152218543
07/24/2023,17,23736.353758849058
07/24/2023,18,24372.50651535168
07/24/2023,19,24471.429897876227
07/24/2023,20,23872.40601165792
07/24/2023,21,23067.54245476593
07/24/2023,22,21810.958282467458
07/24/2023,23,19983.684782740354
07/24/2023,24,18464.994867913912
07/25/2023,1,17398.137400639418
07/25/2023,2,16888.164532299616
07/25/2023,3,16641.598229595802
07/25/2023,4,16330.924876620236
07/25/2023,5,16002.98974783969
07/25/2023,6,16428.737750443026
07/25/2023,7,17494.107113094316
07/25/2023,8,18033.133184105965
07/25/2023,9,18594.711849474766
07/25/2023,10,18921.990583979223
07/25/2023,11,19389.998155670248
07/25/2023,12,20092.11174773122
07/25/2023,13,21032.04587555378
07/25/2023,14,22033.082466994747
07/25/2023,15,23007.871823155976
07/25/2023,16,23516.37153310345
07/25/2023,17,23763.56683774378
07/25/2023,18,23460.861117835124
07/25/2023,19,22662.21888
07/25/2023,20,21932.15214264444
07/25/2023,21,21259.453710506965
07/25/2023,22,20212.739025702216
07/25/2023,23,18645.483362205985
07/25/2023,24,17261.172403451706
07/26/2023,1,16228.59404625257
07/26/2023,2,15787.391825364239
07/26/2023,3,15636.682699045448
07/26/2023,4,15592.18670196392
07/26/2023,5,15650.599709801325
07/26/2023,6,15852.602791997033
07/26/2023,7,16231.866250139303
07/26/2023,8,17549.29339235556
07/26/2023,9,17399.428942601055
07/26/2023,10,17322.421580556063
07/26/2023,11,17777.58855943366
07/26/2023,12,18563.386797242525
07/26/2023,13,19489.195446556292
07/26/2023,14,20540.059276832613
07/26/2023,15,21582.75877588034
07/26/2023,16,22800.835353802242
07/26/2023,17,24081.567216939944
07/26/2023,18,24902.74519968943
07/26/2023,19,25310.03336286824
07/26/2023,20,24973.129175905462
07/26/2023,21,24451.48179319936
07/26/2023,22,23209.322256326792
07/26/2023,23,21253.306710541223
07/26/2023,24,19344.52968290135
07/27/2023,1,18200.82753622745
07/27/2023,2,17897.45438737954
07/27/2023,3,17636.3439444074
07/27/2023,4,17499.436342440058
07/27/2023,5,17420.30881219457
07/27/2023,6,17508.522363117154
07/27/2023,7,18034.61167282485
07/27/2023,8,19115.15052435716
07/27/2023,9,19923.909875316283
07/27/2023,10,20782.730185927154
07/27/2023,11,21784.776779465636
07/27/2023,12,22503.1619043446
07/27/2023,13,22715.256187035855
07/27/2023,14,23382.85315806235
07/27/2023,15,24330.009398858187
07/27/2023,16,25482.50040573076
07/27/2023,17,26149.994470235215
07/27/2023,18,26467.40755086207
07/27/2023,19,25766.17147130395
07/27/2023,20,24691.841567795163
07/27/2023,21,23849.977136266272
07/27/2023,22,22666.493727807723
07/27/2023,23,20931.81870006851
07/27/2023,24,19249.255415275176
07/28/2023,1,18540.193528876458
07/28/2023,2,18632.720204962323
07/28/2023,3,18086.92611770724
07/28/2023,4,17975.079074349167
07/28/2023,5,17997.45763541448
07/28/2023,6,18532.50224818452
07/28/2023,7,18871.39753616808
07/28/2023,8,19107.733575000002
07/28/2023,9,19416.8316350354
07/28/2023,10,19744.95122716374
07/28/2023,11,20296.496126101854
07/28/2023,12,21123.475505788996
07/28/2023,13,22003.02633045901
07/28/2023,14,22920.226710222654
07/28/2023,15,23775.477433112585
07/28/2023,16,24560.16779040877
07/28/2023,17,25218.732356362183
07/28/2023,18,26152.082134449654
07/28/2023,19,26520.406271440974
07/28/2023,20,26290.924303485957
07/28/2023,21,25613.555767070113
07/28/2023,22,24446.6801023647
07/28/2023,23,22649.747534373146
07/28/2023,24,20866.737744752227
07/29/2023,1,19393.728849598083
07/29/2023,2,18874.87102042704
07/29/2023,3,18171.94483437315
07/29/2023,4,17867.33108820165
07/29/2023,5,17611.466692875085
07/29/2023,6,17643.107487180867
07/29/2023,7,17651.76313441425
07/29/2023,8,17859.29030274492
07/29/2023,9,18692.22164443024
07/29/2023,10,19074.03624661795
07/29/2023,11,19845.08408670473
07/29/2023,12,21068.52957275063
07/29/2023,13,22078.91282407399
07/29/2023,14,22400.321340938575
07/29/2023,15,22175.116233295277
07/29/2023,16,22964.053971343918
07/29/2023,17,23430.748982610185
07/29/2023,18,23567.87865828272
07/29/2023,19,23620.698937775753
07/29/2023,20,22859.32018211921
07/29/2023,21,21628.500799929214
07/29/2023,22,20222.580290734186
07/29/2023,23,18453.742254601508
07/29/2023,24,16752.87127603106
07/30/2023,1,15435.244601708155
07/30/2023,2,14573.499420640559
07/30/2023,3,14104.238077734643
07/30/2023,4,13574.930641801784
07/30/2023,5,13562.614200116468
07/30/2023,6,13405.741392643298
07/30/2023,7,13316.363237949306
07/30/2023,8,13317.26906877712
07/30/2023,9,13165.719669132224
07/30/2023,10,12974.558407327017
07/30/2023,11,12823.699306407858
07/30/2023,12,13061.28842209751
07/30/2023,13,13062.584517184292
07/30/2023,14,13061.446209786485
07/30/2023,15,13367.97177600822
07/30/2023,16,14099.69515679836
07/30/2023,17,15465.684927704959
07/30/2023,18,17190.935081519754
07/30/2023,19,18313.87595421786
07/30/2023,20,18355.1972310048
07/30/2023,21,18053.411468440285
07/30/2023,22,17294.555524788768
07/30/2023,23,15935.873078899294
07/30/2023,24,14577.581664447363
07/31/2023,1,13546.694996225167
07/31/2023,2,13285.953999865269
07/31/2023,3,13221.210935939715
07/31/2023,4,13019.609307084951
07/31/2023,5,13154.925369933777
07/31/2023,6,13390.674946096142
07/31/2023,7,14008.84596896095
07/31/2023,8,14797.925665978537
07/31/2023,9,14893.821691116695
07/31/2023,10,14793.27703344485
07/31/2023,11,14790.481897693538
07/31/2023,12,15065.988276155516
07/31/2023,13,15676.463330134735
07/31/2023,14,16494.022599046588
07/31/2023,15,17178.70848427495
07/31/2023,16,17899.924711085867
07/31/2023,17,18998.760891703587
07/31/2023,18,20044.88913436401
07/31/2023,19,20300.742385567482
07/31/2023,20,19932.085197807723
07/31/2023,21,19460.010325375657
07/31/2023,22,18496.81571396095
07/31/2023,23,16982.81216896552
07/31/2023,24,15517.183691225167
08/01/2023,1,14798.885472633023
08/01/2023,2,14314.195111130395
08/01/2023,3,14047.273880758165
08/01/2023,4,14106.129512031286
08/01/2023,5,14235.60042365837
08/01/2023,6,14213.294449172188
08/01/2023,7,14718.096409367436
08/01/2023,8,14991.855253886732
08/01/2023,9,14947.923278104592
08/01/2023,10,14461.66825618863
08/01/2023,11,14248.107945202102
08/01/2023,12,14493.5375804887
08/01/2023,13,15034.014607535968
08/01/2023,14,15536.451520468143
08/01/2023,15,15660.241776981049
08/01/2023,16,16269.691285841518
08/01/2023,17,17192.02658088148
08/01/2023,18,18164.887131617954
08/01/2023,19,18736.33459527746
08/01/2023,20,18594.813041636222
08/01/2023,21,18144.50167968943
08/01/2023,22,17178.36608663622
08/01/2023,23,15739.952822822563
08/01/2023,24,14338.175163007538
08/02/2023,1,13629.044575245493
08/02/2023,2,13923.558670567481
08/02/2023,3,13498.565539867548
08/02/2023,4,13265.716902985843
08/02/2023,5,13369.425928849052
08/02/2023,6,13956.02679615209
08/02/2023,7,14224.618720296874
08/02/2023,8,14363.930313209637
08/02/2023,9,14103.459193729163
08/02/2023,10,13299.766842084955
08/02/2023,11,13076.575724503313
08/02/2023,12,13390.721005632564
08/02/2023,13,13834.644000835811
08/02/2023,14,14316.59177274492
08/02/2023,15,14746.466565051383
08/02/2023,16,15357.707468817083
08/02/2023,17,16375.354357988128
08/02/2023,18,17652.27134405344
08/02/2023,19,18465.113829029462
08/02/2023,20,18406.368968344374
08/02/2023,21,18054.56491058461
08/02/2023,22,17130.363805348257
08/02/2023,23,15720.383215259195
08/02/2023,24,14374.862694817311
08/03/2023,1,13383.974810470429
08/03/2023,2,13376.044037822563
08/03/2023,3,13068.150432043845
08/03/2023,4,12850.46250384677
08/03/2023,5,12991.362139970313
08/03/2023,6,13564.715969890385
08/03/2023,7,14277.44536606531
08/03/2023,8,14499.68637945764
08/03/2023,9,14498.344945183833
08/03/2023,10,14482.075017074676
08/03/2023,11,14533.023982635308
08/03/2023,12,14855.745597824847
08/03/2023,13,14997.798418472255
08/03/2023,14,15781.597945529806
08/03/2023,15,16485.52829727335
08/03/2023,16,17304.520911258278
08/03/2023,17,18332.002592555382
08/03/2023,18,19101.095787602193
08/03/2023,19,19124.67611476593
08/03/2023,20,18793.20780676867
08/03/2023,21,18585.545161822334
08/03/2023,22,17769.906482319024
08/03/2023,23,16443.38827105732
08/03/2023,24,15147.61224196963
08/04/2023,1,14171.826273644669
08/04/2023,2,13944.669698751999
08/04/2023,3,13900.73973144554
08/04/2023,4,13976.440913464263
08/04/2023,5,14044.790386805209
08/04/2023,6,14590.616485416764
08/04/2023,7,15258.51718729847
08/04/2023,8,15861.496661954789
08/04/2023,9,16596.55824029459
08/04/2023,10,16876.355583596713
08/04/2023,11,17152.829646494632
08/04/2023,12,17480.959215469287
08/04/2023,13,17785.618601393016
08/04/2023,14,17915.849711509476
08/04/2023,15,17871.88439473853
08/04/2023,16,18116.430174145924
08/04/2023,17,18775.056693863895
08/04/2023,18,19294.568524155064
08/04/2023,19,19153.416105914595
08/04/2023,20,18927.166851847454
08/04/2023,21,18668.913799867554
08/04/2023,22,17931.368072733505
08/04/2023,23,16788.046027905915
08/04/2023,24,15629.334937974427
08/05/2023,1,14924.934523578444
08/05/2023,2,14226.331828170816
08/05/2023,3,13740.462437853394
08/05/2023,4,13975.51067623887
08/05/2023,5,14027.803837412652
08/05/2023,6,14150.870354486187
08/05/2023,7,14385.22698146609
08/05/2023,8,14843.047767245947
08/05/2023,9,14870.625302843117
08/05/2023,10,14548.817986339349
08/05/2023,11,14640.874589102536
08/05/2023,12,14812.130280486414
08/05/2023,13,15222.989137207127
08/05/2023,14,15816.217243759991
08/05/2023,15,16469.948356702444
08/05/2023,16,17366.240632422934
08/05/2023,17,18418.575438319254
08/05/2023,18,19297.239225866637
08/05/2023,19,19726.165921260563
08/05/2023,20,19511.823241318794
08/05/2023,21,19152.17974877826
08/05/2023,22,18262.12596111327
08/05/2023,23,16934.49552942681
08/05/2023,24,15540.733575941995
08/06/2023,1,14353.882867549672
08/06/2023,2,13485.065025099339
08/06/2023,3,13142.864564667732
08/06/2023,4,12712.280187084953
08/06/2023,5,12479.469127255083
08/06/2023,6,12462.283527283627
08/06/2023,7,13177.431787741496
08/06/2023,8,13331.377130138162
08/06/2023,9,13052.262427179723
08/06/2023,10,13182.374681348487
08/06/2023,11,12884.31127004339
08/06/2023,12,13294.578937631883
08/06/2023,13,14073.561032390957
08/06/2023,14,14494.425579563831
08/06/2023,15,15266.5148625942
08/06/2023,16,16256.732047655858
08/06/2023,17,17722.376230940856
08/06/2023,18,19304.375290153002
08/06/2023,19,20168.172872171734
08/06/2023,20,19997.867447476598
08/06/2023,21,19542.899425711348
08/06/2023,22,18560.099809360585
08/06/2023,23,17067.859527732362
08/06/2023,24,15581.616294920075
08/07/2023,1,14538.521611623659
08/07/2023,2,14728.2820949726
08/07/2023,3,14350.446785494407
08/07/2023,4,14142.914678063486
08/07/2023,5,14325.720204382282
08/07/2023,6,14737.320439655174
08/07/2023,7,15384.486049271523
08/07/2023,8,16187.929069387992
08/07/2023,9,17019.274521621377
08/07/2023,10,17550.28261565083
08/07/2023,11,17934.65817232245
08/07/2023,12,18334.88151996118
08/07/2023,13,18387.977532811146
08/07/2023,14,18355.788595176982
08/07/2023,15,18465.933886079016
08/07/2023,16,18581.40571548299
08/07/2023,17,18694.961182237956
08/07/2023,18,19075.636860503546
08/07/2023,19,19166.35144776433
08/07/2023,20,19080.641958613836
08/07/2023,21,18988.443618702906
08/07/2023,22,18214.378827739212
08/07/2023,23,17027.709525202103
08/07/2023,24,15882.539036708156
08/08/2023,1,15299.635640436174
08/08/2023,2,15235.180725188402
08/08/2023,3,15157.233971208043
08/08/2023,4,15040.807671518613
08/08/2023,5,15300.385938881023
08/08/2023,6,15942.6714644565
08/08/2023,7,16358.470192395527
08/08/2023,8,17559.150182712947
08/08/2023,9,18345.644270244353
08/08/2023,10,18985.130281839465
08/08/2023,11,19190.193561580272
08/08/2023,12,19223.281127483446
08/08/2023,13,19316.172392582783
08/08/2023,14,19973.576314096827
08/08/2023,15,20412.786496853165
08/08/2023,16,20689.1364735853
08/08/2023,17,21495.534692829413
08/08/2023,18,22155.59158007079
08/08/2023,19,22172.995671998175
08/08/2023,20,21582.996705184974
08/08/2023,21,20850.22545746061
08/08/2023,22,19707.93241169788
08/08/2023,23,18209.622187179724
08/08/2023,24,16907.74469765015
08/09/2023,1,15810.828313030373
08/09/2023,2,15498.588807917335
08/09/2023,3,14962.641332541676
08/09/2023,4,14877.737726208039
08/09/2023,5,14997.351748376344
08/09/2023,6,15406.294761285682
08/09/2023,7,15915.013940511535
08/09/2023,8,16454.35685538936
08/09/2023,9,16549.492139006627
08/09/2023,10,16479.844051681896
08/09/2023,11,16485.372138606992
08/09/2023,12,16533.390136493494
08/09/2023,13,16951.389323943826
08/09/2023,14,17599.66744591802
08/09/2023,15,18330.16264612012
08/09/2023,16,19003.626212658146
08/09/2023,17,20109.009206026494
08/09/2023,18,21228.007130857502
08/09/2023,19,21652.37257342772
08/09/2023,20,21398.73096077073
08/09/2023,21,20932.1411988285
08/09/2023,22,19796.313263131997
08/09/2023,23,18158.503902489156
08/09/2023,24,16558.985520863214
08/10/2023,1,15319.045467684404
08/10/2023,2,15154.352173434576
08/10/2023,3,14828.846340863212
08/10/2023,4,14597.70097201987
08/10/2023,5,14758.70861326559
08/10/2023,6,14804.874924043164
08/10/2023,7,15076.763604690568
08/10/2023,8,15736.24742713291
08/10/2023,9,16257.946341915964
08/10/2023,10,16314.024451589403
08/10/2023,11,16563.47165442339
08/10/2023,12,17341.43941798699
08/10/2023,13,18416.612513649237
08/10/2023,14,19554.313781416993
08/10/2023,15,19991.580820913456
